date,sub_region_code,demand,temperature_2m,hour,day_of_week,month,is_weekend,is_holiday
2025-01-01 20:00:00+00:00,2,1853,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,7,288,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,6,1107,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,0,1788,6.696,20,2,1,0,0
2025-01-01 20:00:00+00:00,8,684,6.696,20,2,1,0,0
2025-01-01 21:00:00+00:00,10,2177,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,1,1176,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,3,650,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,5,1435,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,9,5238,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,4,1016,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,6,1125,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,7,312,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,0,1814,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,2,1918,5.796,21,2,1,0,0
2025-01-01 21:00:00+00:00,8,691,5.796,21,2,1,0,0
2025-01-01 22:00:00+00:00,10,2304,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,1,1224,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,6,1187,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,0,1879,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,5,1512,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,4,1061,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,2,1914,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,9,5360,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,7,328,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,3,666,5.146,22,2,1,0,0
2025-01-01 22:00:00+00:00,8,709,5.146,22,2,1,0,0
2025-01-01 23:00:00+00:00,2,1967,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,10,2470,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,3,673,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,9,5515,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,4,1100,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,6,1253,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,0,1949,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,5,1557,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,1,1267,4.796,23,2,1,0,0
2025-01-01 23:00:00+00:00,8,745,4.796,23,2,1,0,0
